change_id,change_number,status,updated,subject,author,source,match,vendors,backends,severity,snippet,files,url,project
dawn~283655,,MERGED,2026-01-08 17:28:46.000000000,[metal] Add workaround for clamp frag depth.,,subject,workaround|workaround_for,,metal,,[metal] Add workaround for clamp frag depth.,,https://dawn-review.googlesource.com/c/dawn/+/I48d41001ff06ef06d8dec8780a9ac5f727ee8b38,dawn
dawn~273736,,MERGED,2026-01-05 19:22:34.000000000,Fix MapAsyncAndWait use-after-free,,messages[22],workaround|workaround_for,,dawn,,Change has been successfully rebased and submitted as 37905ab50503cb442aac9a8a28ac7306416dee39 2 is the latest approved patch-set. The change was submitted with unreviewed changes in the following files: ``` The name of the file: src/dawn/t...,,https://dawn-review.googlesource.com/c/dawn/+/I5384e74ff6ab9da6104b07e6d9d235bf5d4b40c2,dawn
dawn~280395,,MERGED,2025-12-15 10:12:33.000000000,[M144] D3D11: work around driver bug on old Intel drivers,,subject,driver_bug,intel,,,[M144] D3D11: work around driver bug on old Intel drivers,,https://dawn-review.googlesource.com/c/dawn/+/Ib0661c9d96aa59cba4b3e4822e573272d2a6b5bc,dawn
dawn~279395,,MERGED,2025-12-09 20:49:50.000000000,D3D11: work around driver bug on old Intel drivers,,subject,driver_bug,intel,,,D3D11: work around driver bug on old Intel drivers,,https://dawn-review.googlesource.com/c/dawn/+/Id2dde6afec098c97d5dd3b058aff369f0cf77211,dawn
dawn~266695,,MERGED,2025-10-23 18:01:19.000000000,[WebGPU backend] Fix load resolve texture extension support,,messages[56],workaround,,"dawn,webgpu",,Change has been successfully rebased and submitted as 6a904a138a087a9aef4984664c51969ed15f4b31 13 is the latest approved patch-set. The change was submitted with unreviewed changes in the following files: ``` The name of the file: src/dawn/...,,https://dawn-review.googlesource.com/c/dawn/+/I2514e2ed9cb95af9bc09c3153029e6cfd8881c9e,dawn
dawn~256034,,MERGED,2025-08-06 00:34:12.000000000,"Revert ""Reland ""[dawn][emscripten][test] Add workaround for WASM tests startup.""""",,subject,workaround|workaround_for,,dawn,,"Revert ""Reland ""[dawn][emscripten][test] Add workaround for WASM tests startup.""""",,https://dawn-review.googlesource.com/c/dawn/+/Ie8a3f9d8b6cd27117de8bf02bff212d048dd74c8,dawn
dawn~240514,,MERGED,2025-08-05 19:04:11.000000000,"Reland ""[dawn][emscripten][test] Add workaround for WASM tests startup.""",,subject,workaround|workaround_for,,dawn,,"Reland ""[dawn][emscripten][test] Add workaround for WASM tests startup.""",,https://dawn-review.googlesource.com/c/dawn/+/I3b1c3db3b25944d7b2d636a946dd6e79feb22c9e,dawn
dawn~251614,,MERGED,2025-07-25 01:06:58.000000000,Workaround for D3D12 BeginRenderPass issue on Intel ACM/ARL,,subject,workaround|workaround_for,intel,d3d,,Workaround for D3D12 BeginRenderPass issue on Intel ACM/ARL,,https://dawn-review.googlesource.com/c/dawn/+/I31e1d7410bf3d413150eb534920529cdf18f436a,dawn
dawn~242654,,MERGED,2025-05-22 04:31:15.000000000,Dawn: Only check ACPI ids for Qualcomm D3D12 depth24plus-stencil8 workaround,,subject,workaround,qualcomm,"d3d,dawn",,Dawn: Only check ACPI ids for Qualcomm D3D12 depth24plus-stencil8 workaround,,https://dawn-review.googlesource.com/c/dawn/+/Iac9df090d18f440cd5e3adf46355a9c1b5cd2126,dawn
dawn~239475,,MERGED,2025-05-05 21:11:32.000000000,"Revert ""[dawn][emscripten][test] Add workaround for WASM tests startup.""",,subject,workaround|workaround_for,,dawn,,"Revert ""[dawn][emscripten][test] Add workaround for WASM tests startup.""",,https://dawn-review.googlesource.com/c/dawn/+/Ia0dc415206c8103cb6d8d174b82cfa0903e2fe33,dawn
dawn~231678,,MERGED,2025-04-29 02:41:36.000000000,[dawn][emscripten][test] Add workaround for WASM tests startup.,,subject,workaround|workaround_for,,dawn,,[dawn][emscripten][test] Add workaround for WASM tests startup.,,https://dawn-review.googlesource.com/c/dawn/+/I9085bb3e6ce62d72f2759204306462484342529c,dawn
